method,budget,CalotTriangleDissection,CleaningCoagulation,ClippingCutting,GallbladderDissection,GallbladderExtraction,GallbladderPackaging,Preparation
random,0.1,0.6541832669322709,0.3645320197044335,0.6140888208269525,0.34096692111959287,0.4342857142857143,0.4972375690607735,0.36123348017621143
random,0.25,0.6782884310618067,0.3982102908277405,0.6439942112879884,0.4167832167832168,0.4875,0.6010928961748634,0.41277641277641275
random,0.5,0.7117716073523661,0.4818181818181818,0.6738505747126436,0.45507246376811594,0.5569620253164557,0.6111111111111112,0.46384039900249374
vision,0.1,0.6616541353383458,0.3018867924528302,0.5803636363636364,0.3300699300699301,0.42857142857142855,0.47668393782383417,0.37037037037037035
vision,0.25,0.681800079649542,0.40358744394618834,0.6505494505494506,0.37866666666666665,0.5547445255474452,0.5355191256830601,0.4225352112676056
vision,0.5,0.712778429073857,0.49765258215962443,0.6864590876176684,0.4322845417236662,0.6,0.6555555555555556,0.4488778054862843
multimodal,0.1,0.6286902286902287,0.329004329004329,0.5987438939288207,0.37398373983739835,0.4805194805194805,0.5106382978723404,0.365296803652968
multimodal,0.25,0.6736334405144695,0.3972286374133949,0.6448326055312955,0.3717277486910995,0.5285714285714286,0.5668449197860963,0.4074074074074074
multimodal,0.5,0.714622641509434,0.48498845265588914,0.6895074946466809,0.42482758620689653,0.5899280575539568,0.6666666666666666,0.47474747474747475
full,1.0,0.7361915797605253,0.5594405594405595,0.7176554681915654,0.47703703703703704,0.6225165562913907,0.6818181818181818,0.49122807017543857
