method,budget,seed,CalotTriangleDissection,CleaningCoagulation,ClippingCutting,GallbladderDissection,GallbladderExtraction,GallbladderPackaging,Preparation
random,0.05,0,0.7830769230769231,0.3625,0.6635859519408502,0.125,0.10416666666666667,0.2619047619047619,0.3230769230769231
random,0.05,1,0.7231389805647231,0.323943661971831,0.5244536940686785,0.08943089430894309,0.2803738317757009,0.07792207792207792,0.2869198312236287
random,0.1,0,0.7802940007945968,0.43243243243243246,0.6488479262672812,0.16736401673640167,0.3793103448275862,0.5368421052631579,0.34710743801652894
random,0.1,1,0.7625792023853895,0.34831460674157305,0.5971943887775552,0.20967741935483872,0.432,0.34523809523809523,0.42528735632183906
stratified,0.05,0,0.7692307692307693,0.3027027027027027,0.7220732797140303,0.3811659192825112,0.42857142857142855,0.20134228187919462,0.32950191570881227
stratified,0.05,1,0.7742738589211619,0.16993464052287582,0.7452596867271228,0.13740458015267176,0.49612403100775193,0.1891891891891892,0.2625482625482625
stratified,0.1,0,0.7826449728827701,0.365296803652968,0.6761819803746655,0.41887905604719766,0.5540540540540541,0.3018867924528302,0.39790575916230364
stratified,0.1,1,0.7695852534562212,0.4444444444444444,0.6537678207739308,0.08163265306122448,0.4461538461538462,0.19444444444444445,0.39823008849557523
vision,0.05,0,0.7140495867768595,0.07441860465116279,0.5947955390334573,0.23466666666666666,0.3103448275862069,0.2251655629139073,0.3438914027149321
vision,0.05,1,0.7606802156781418,0.2518518518518518,0.6754221388367729,0.2826086956521739,0.12244897959183673,0.41346153846153844,0.42857142857142855
vision,0.1,0,0.8039295947605403,0.35555555555555557,0.7230125523012553,0.3691275167785235,0.32558139534883723,0.18791946308724833,0.3333333333333333
vision,0.1,1,0.754608766898812,0.41420118343195267,0.6641929499072357,0.2765957446808511,0.4375,0.5853658536585366,0.384180790960452
multimodal,0.05,0,0.756642766765078,0.1728395061728395,0.6661087866108787,0.2727272727272727,0.4925373134328358,0.43373493975903615,0.37962962962962965
multimodal,0.05,1,0.7752053771471247,0.4857142857142857,0.571127502634352,0.24669603524229075,0.49612403100775193,0.5204081632653061,0.3891891891891892
multimodal,0.1,0,0.7464465841357175,0.32038834951456313,0.6917755572636434,0.41708542713567837,0.5076923076923077,0.3013698630136986,0.3867924528301887
multimodal,0.1,1,0.7657188626351622,0.32954545454545453,0.7069271758436945,0.2753623188405797,0.4748201438848921,0.22535211267605634,0.3211009174311927
