method,budget,seed,CalotTriangleDissection,CleaningCoagulation,ClippingCutting,GallbladderDissection,GallbladderExtraction,GallbladderPackaging,Preparation
random,0.05,0,0.5763418447107869,0.10256410256410256,0.6173020527859238,0.2206148282097649,0.37593984962406013,0.2222222222222222,0.2896551724137931
random,0.05,1,0.5471698113207547,0.02702702702702703,0.47912524850894633,0.2722063037249284,0.2831858407079646,0.2222222222222222,0.27702702702702703
random,0.05,2,0.5864801864801865,0.12371134020618557,0.5460930640913082,0.22895622895622897,0.48951048951048953,0.21052631578947367,0.3026315789473684
random,0.05,3,0.481767955801105,0.047058823529411764,0.5408496732026143,0.24700239808153476,0.36231884057971014,0.11494252873563218,0.26785714285714285
random,0.05,4,0.4997223764575236,0.0,0.521594684385382,0.23142250530785563,0.16216216216216217,0.2222222222222222,0.2572614107883817
random,0.1,0,0.5947289905519642,0.11570247933884298,0.6053067993366501,0.22903225806451613,0.45161290322580644,0.4048582995951417,0.37551020408163266
random,0.1,1,0.5418912297893189,0.03571428571428571,0.5116713352007469,0.2536443148688047,0.3442622950819672,0.34,0.2867132867132867
random,0.1,2,0.6166194523135033,0.10084033613445378,0.5858761987794245,0.23776223776223776,0.484375,0.33707865168539325,0.26282051282051283
random,0.1,3,0.5422177009155646,0.057692307692307696,0.5378850957535387,0.2541899441340782,0.4067796610169492,0.27807486631016043,0.2907801418439716
random,0.1,4,0.556390977443609,0.08333333333333333,0.5399828030954428,0.21458046767537828,0.42276422764227645,0.36464088397790057,0.2837370242214533
stratified,0.05,0,0.5119565217391304,0.1188118811881188,0.4661957618567104,0.26229508196721313,0.39705882352941174,0.29850746268656714,0.2462686567164179
stratified,0.05,1,0.575553416746872,0.021052631578947368,0.5644171779141104,0.18832391713747645,0.5151515151515151,0.1927710843373494,0.26119402985074625
stratified,0.05,2,0.5656665027053616,0.022988505747126436,0.5446428571428571,0.22476190476190477,0.16,0.30275229357798167,0.26217228464419473
stratified,0.05,3,0.5410677618069816,0.06382978723404255,0.5320456540825286,0.22277227722772278,0.5369127516778524,0.1925133689839572,0.2570281124497992
stratified,0.05,4,0.5441696113074205,0.039603960396039604,0.48794063079777367,0.2538860103626943,0.3728813559322034,0.3020408163265306,0.27956989247311825
stratified,0.1,0,0.5569347004856988,0.09448818897637795,0.5938566552901023,0.2916666666666667,0.5324675324675324,0.32124352331606215,0.32432432432432434
stratified,0.1,1,0.5656862745098039,0.1111111111111111,0.5477707006369427,0.22873082287308227,0.5,0.43820224719101125,0.2876712328767123
stratified,0.1,2,0.5812379110251451,0.10526315789473684,0.5527638190954773,0.22291021671826625,0.5035971223021583,0.14814814814814814,0.32669322709163345
stratified,0.1,3,0.5701402805611222,0.07751937984496124,0.5767857142857142,0.2955801104972376,0.4,0.36213991769547327,0.3700440528634361
stratified,0.1,4,0.5458399576046635,0.17333333333333334,0.5885206143896524,0.24776119402985075,0.543046357615894,0.27472527472527475,0.3367003367003367
vision,0.05,0,0.49376017362995117,0.038834951456310676,0.5528571428571428,0.23739837398373984,0.3937007874015748,0.3843137254901961,0.39826839826839827
