method,budget,n_train,accuracy,macro_f1,weighted_f1,elapsed_sec,seed
random,0.1,1358,0.5482983843245102,0.46664682744370695,0.5831777810004823,0.07,0
random,0.25,3393,0.5902371949123411,0.5198064941302898,0.6169522328300723,0.17,0
random,0.5,6786,0.6304572017875558,0.5649180518687668,0.6537581271277053,0.52,0
vision,0.1,1358,0.5407356479889996,0.4499428901414822,0.5739673904392604,32.88,0
vision,0.25,3393,0.5874871089721554,0.5182003576157084,0.6180712561855903,158.79,0
vision,0.5,6786,0.6328635269852183,0.5762297145166652,0.6582397534100203,389.47,0
multimodal,0.1,1358,0.5376418013062908,0.4695538247865093,0.5676073173146098,64.0,0
multimodal,0.25,3393,0.5799243726366449,0.5128923125593131,0.6111161746507128,314.65,0
multimodal,0.5,6786,0.6345823306978343,0.5778983391409998,0.6598518121737946,867.87,0
full,1.0,13572,0.6672396012375387,0.6122696361020997,0.6882617849826473,0.0,0
