method,budget,seed,n_train,accuracy,macro_f1,weighted_f1,best_epoch,best_val_macro_f1
random,0.05,0,637,0.6506340183646698,0.3747587466665893,0.6172189058049486,8,0.4035
random,0.05,1,637,0.580236117184084,0.32945471026222617,0.5410326545693565,7,0.4476
random,0.1,0,1274,0.6598163533012681,0.4703140377625693,0.6435261781485672,6,0.4861
random,0.1,1,1274,0.6432006996064713,0.44575586697418446,0.6147774056927595,8,0.5163
stratified,0.05,0,637,0.6480104940970703,0.4477983281556356,0.6535164140656339,8,0.447
stratified,0.05,1,637,0.6541320507214692,0.39639060700986223,0.6393502066108069,5,0.3854
stratified,0.1,0,1274,0.6694359422824662,0.4995499169466842,0.6645953462511823,5,0.4358
stratified,0.1,1,1274,0.644949715784871,0.4268940786899553,0.6195190277205146,3,0.52
vision,0.05,0,637,0.5723655443812855,0.3567617414775989,0.5689462766339851,4,0.3879
vision,0.05,1,637,0.6340183646698732,0.4192921212348205,0.6294258236644906,6,0.4065
vision,0.1,0,1274,0.684739833843463,0.4426370587378991,0.6670754669301808,8,0.4783
vision,0.1,1,1274,0.6506340183646698,0.5023778985054057,0.6488078107306855,8,0.5168
multimodal,0.05,0,637,0.640139921294272,0.45346003072822444,0.6353075768970777,7,0.4131
multimodal,0.05,1,637,0.6589418452120682,0.4977806548857572,0.632127004256914,6,0.416
multimodal,0.1,0,1274,0.645386969829471,0.48165007736939963,0.6473968893725682,6,0.4848
multimodal,0.1,1,1274,0.6580673371228684,0.44268956940814747,0.6434083324237818,6,0.4723
