method,budget,seed,n_train,accuracy,macro_f1,weighted_f1,elapsed_sec
random,0.05,0,637,0.4940970703979012,0.34352001036152197,0.5088323064699865,0.02
random,0.05,1,637,0.425010931351115,0.3011376400769815,0.45318913976769565,0.02
random,0.05,2,637,0.48578924355050285,0.35541560056874877,0.4994461165799313,0.02
random,0.05,3,637,0.4105815478793179,0.2945424803981645,0.43445609922420875,0.02
random,0.05,4,637,0.40839527765631833,0.2706264801890753,0.432589175103849,0.02
random,0.1,0,1274,0.5094009619588982,0.3966788477420792,0.5307896702010041,0.03
random,0.1,1,1274,0.4429383471797114,0.3305566781954871,0.4675723418247365,0.03
random,0.1,2,1274,0.5094009619588982,0.3750531984993608,0.5304653949213605,0.02
random,0.1,3,1274,0.455181460428509,0.3382313882380815,0.4751352538237581,0.02
random,0.1,4,1274,0.4595540008745081,0.3522042453413419,0.48560229407679745,0.03
stratified,0.05,0,637,0.40839527765631833,0.328727741383367,0.4425406018014648,0.02
stratified,0.05,1,637,0.4818539571491036,0.33120911038814527,0.4913206895778271,0.02
stratified,0.05,2,637,0.4709226060341058,0.29756919265420373,0.47586031328963474,0.02
stratified,0.05,3,637,0.4429383471797114,0.33516710192326915,0.47029662403665845,0.02
stratified,0.05,4,637,0.4372540445999126,0.32572746822796866,0.4610866948755509,0.02
stratified,0.1,0,1274,0.48229121119370355,0.38785451307525204,0.5102783848810158,0.03
stratified,0.1,1,1274,0.4731088762571054,0.3827389127426662,0.5014170548419934,0.03
stratified,0.1,2,1274,0.47966768692610406,0.3486590860393665,0.49557404670710725,0.03
stratified,0.1,3,1274,0.48841276781810233,0.37888706510684933,0.5100187660518565,0.03
stratified,0.1,4,1274,0.4770441626585046,0.387132438342715,0.5012014500527225,0.03
vision,0.05,0,637,0.4534324442501093,0.3570190790124733,0.4621089592910039,5.82
vision,0.05,1,637,0.4836029733275033,0.32853727176454495,0.49343455111513906,6.39
vision,0.05,2,637,0.4809794490599038,0.33265161055491926,0.5021357125704178,6.39
vision,0.05,3,637,0.46436379536510713,0.3301461914027601,0.48630924590891583,5.86
vision,0.05,4,637,0.44818539571491034,0.32891473482687,0.4733062493152769,5.34
vision,0.1,0,1274,0.48928727590730214,0.3294854260510581,0.5082039681379106,14.27
vision,0.1,1,1274,0.4691735898557062,0.37063684238703,0.5029753954571532,14.01
vision,0.1,2,1274,0.5054656755574989,0.38258435018962395,0.5219249840796132,14.14
vision,0.1,3,1274,0.509838216003498,0.37153568830169226,0.5227304841161066,13.85
vision,0.1,4,1274,0.4691735898557062,0.3646647097321831,0.494686693070171,12.32
multimodal,0.05,0,637,0.4910362920857018,0.37559379049807523,0.5098907980784896,12.45
multimodal,0.05,1,637,0.4586794927853083,0.3703419433652503,0.48424297404766437,12.52
multimodal,0.05,2,637,0.4704853519895059,0.34567827506288973,0.4893408144423439,12.68
multimodal,0.05,3,637,0.464801049409707,0.3677396772896288,0.49524584841752545,13.21
multimodal,0.05,4,637,0.49191080017490163,0.3489870398651224,0.5077581643049284,12.83
multimodal,0.1,0,1274,0.4862264975951028,0.35910373474519625,0.5082084346960787,25.7
multimodal,0.1,1,1274,0.4534324442501093,0.3763036396580676,0.4849348157914719,25.16
multimodal,0.1,2,1274,0.46086576300830784,0.36066805864828927,0.48939912525573565,25.67
multimodal,0.1,3,1274,0.4853519895059029,0.3821032300693371,0.5063631011748346,26.26
multimodal,0.1,4,1274,0.4586794927853083,0.33602733862490963,0.4834783308681183,24.19
full,1.0,0,12738,0.5627459554000874,0.4760747428817972,0.5892028549192212,0.0
