frame_path,phase,split
data/synthetic_frames/video03/frame_000006.jpg,Preparation,test
data/synthetic_frames/video03/frame_000030.jpg,GallbladderDissection,train
data/synthetic_frames/video03/frame_000025.jpg,GallbladderDissection,val
data/synthetic_frames/video02/frame_000018.jpg,ClippingCutting,train
data/synthetic_frames/video02/frame_000033.jpg,GallbladderPackaging,test
data/synthetic_frames/video02/frame_000048.jpg,GallbladderRetraction,val
data/synthetic_frames/video01/frame_000032.jpg,GallbladderPackaging,val
data/synthetic_frames/video03/frame_000046.jpg,CleaningCoagulation,train
data/synthetic_frames/video02/frame_000036.jpg,GallbladderPackaging,train
data/synthetic_frames/video03/frame_000013.jpg,CalotTriangleDissection,train
data/synthetic_frames/video03/frame_000035.jpg,GallbladderPackaging,test
data/synthetic_frames/video01/frame_000051.jpg,GallbladderRetraction,train
data/synthetic_frames/video01/frame_000043.jpg,CleaningCoagulation,train
data/synthetic_frames/video02/frame_000049.jpg,GallbladderRetraction,test
data/synthetic_frames/video02/frame_000007.jpg,Preparation,val
data/synthetic_frames/video02/frame_000026.jpg,GallbladderDissection,train
data/synthetic_frames/video01/frame_000045.jpg,CleaningCoagulation,train
data/synthetic_frames/video01/frame_000054.jpg,GallbladderRetraction,test
data/synthetic_frames/video01/frame_000029.jpg,GallbladderDissection,train
data/synthetic_frames/video03/frame_000054.jpg,GallbladderRetraction,train
data/synthetic_frames/video01/frame_000034.jpg,GallbladderPackaging,val
data/synthetic_frames/video02/frame_000039.jpg,GallbladderPackaging,test
data/synthetic_frames/video02/frame_000012.jpg,CalotTriangleDissection,train
data/synthetic_frames/video03/frame_000043.jpg,CleaningCoagulation,train
data/synthetic_frames/video02/frame_000032.jpg,GallbladderPackaging,train
data/synthetic_frames/video01/frame_000048.jpg,GallbladderRetraction,train
data/synthetic_frames/video02/frame_000030.jpg,GallbladderDissection,train
data/synthetic_frames/video02/frame_000002.jpg,Preparation,train
data/synthetic_frames/video03/frame_000026.jpg,GallbladderDissection,val
data/synthetic_frames/video03/frame_000002.jpg,Preparation,train
data/synthetic_frames/video02/frame_000040.jpg,CleaningCoagulation,train
data/synthetic_frames/video01/frame_000002.jpg,Preparation,train
data/synthetic_frames/video01/frame_000047.jpg,CleaningCoagulation,train
data/synthetic_frames/video01/frame_000009.jpg,CalotTriangleDissection,train
data/synthetic_frames/video01/frame_000006.jpg,Preparation,train
data/synthetic_frames/video03/frame_000020.jpg,ClippingCutting,train
data/synthetic_frames/video03/frame_000038.jpg,GallbladderPackaging,val
data/synthetic_frames/video01/frame_000046.jpg,CleaningCoagulation,train
data/synthetic_frames/video02/frame_000015.jpg,CalotTriangleDissection,train
data/synthetic_frames/video02/frame_000025.jpg,GallbladderDissection,train
data/synthetic_frames/video01/frame_000014.jpg,CalotTriangleDissection,test
data/synthetic_frames/video03/frame_000044.jpg,CleaningCoagulation,train
data/synthetic_frames/video02/frame_000005.jpg,Preparation,train
data/synthetic_frames/video01/frame_000001.jpg,Preparation,train
data/synthetic_frames/video02/frame_000044.jpg,CleaningCoagulation,val
data/synthetic_frames/video01/frame_000012.jpg,CalotTriangleDissection,train
data/synthetic_frames/video01/frame_000021.jpg,ClippingCutting,val
data/synthetic_frames/video02/frame_000031.jpg,GallbladderDissection,train
data/synthetic_frames/video02/frame_000050.jpg,GallbladderRetraction,train
data/synthetic_frames/video02/frame_000003.jpg,Preparation,train
data/synthetic_frames/video01/frame_000007.jpg,Preparation,train
data/synthetic_frames/video01/frame_000039.jpg,GallbladderPackaging,val
data/synthetic_frames/video01/frame_000020.jpg,ClippingCutting,val
data/synthetic_frames/video01/frame_000005.jpg,Preparation,train
data/synthetic_frames/video01/frame_000022.jpg,ClippingCutting,train
data/synthetic_frames/video02/frame_000038.jpg,GallbladderPackaging,train
data/synthetic_frames/video01/frame_000044.jpg,CleaningCoagulation,train
data/synthetic_frames/video03/frame_000050.jpg,GallbladderRetraction,train
data/synthetic_frames/video03/frame_000055.jpg,GallbladderRetraction,val
data/synthetic_frames/video03/frame_000016.jpg,ClippingCutting,val
data/synthetic_frames/video03/frame_000007.jpg,Preparation,train
data/synthetic_frames/video01/frame_000017.jpg,ClippingCutting,test
data/synthetic_frames/video03/frame_000032.jpg,GallbladderPackaging,train
data/synthetic_frames/video01/frame_000053.jpg,GallbladderRetraction,train
data/synthetic_frames/video01/frame_000027.jpg,GallbladderDissection,train
data/synthetic_frames/video03/frame_000015.jpg,CalotTriangleDissection,test
data/synthetic_frames/video03/frame_000022.jpg,ClippingCutting,train
data/synthetic_frames/video03/frame_000040.jpg,CleaningCoagulation,train
data/synthetic_frames/video02/frame_000011.jpg,CalotTriangleDissection,train
data/synthetic_frames/video01/frame_000050.jpg,GallbladderRetraction,val
data/synthetic_frames/video02/frame_000041.jpg,CleaningCoagulation,train
data/synthetic_frames/video02/frame_000053.jpg,GallbladderRetraction,train
data/synthetic_frames/video03/frame_000027.jpg,GallbladderDissection,train
data/synthetic_frames/video01/frame_000019.jpg,ClippingCutting,test
data/synthetic_frames/video01/frame_000016.jpg,ClippingCutting,train
data/synthetic_frames/video02/frame_000045.jpg,CleaningCoagulation,train
data/synthetic_frames/video03/frame_000009.jpg,CalotTriangleDissection,train
data/synthetic_frames/video02/frame_000004.jpg,Preparation,train
data/synthetic_frames/video01/frame_000033.jpg,GallbladderPackaging,train
data/synthetic_frames/video02/frame_000022.jpg,ClippingCutting,train
data/synthetic_frames/video01/frame_000004.jpg,Preparation,train
data/synthetic_frames/video02/frame_000027.jpg,GallbladderDissection,test
data/synthetic_frames/video03/frame_000031.jpg,GallbladderDissection,train
data/synthetic_frames/video03/frame_000019.jpg,ClippingCutting,train
data/synthetic_frames/video03/frame_000045.jpg,CleaningCoagulation,val
data/synthetic_frames/video03/frame_000004.jpg,Preparation,val
data/synthetic_frames/video02/frame_000017.jpg,ClippingCutting,train
data/synthetic_frames/video02/frame_000052.jpg,GallbladderRetraction,train
data/synthetic_frames/video01/frame_000049.jpg,GallbladderRetraction,train
data/synthetic_frames/video02/frame_000020.jpg,ClippingCutting,train
data/synthetic_frames/video02/frame_000054.jpg,GallbladderRetraction,val
data/synthetic_frames/video02/frame_000000.jpg,Preparation,train
data/synthetic_frames/video01/frame_000036.jpg,GallbladderPackaging,train
data/synthetic_frames/video02/frame_000019.jpg,ClippingCutting,train
data/synthetic_frames/video02/frame_000043.jpg,CleaningCoagulation,test
data/synthetic_frames/video03/frame_000048.jpg,GallbladderRetraction,train
data/synthetic_frames/video01/frame_000026.jpg,GallbladderDissection,test
data/synthetic_frames/video03/frame_000000.jpg,Preparation,test
data/synthetic_frames/video01/frame_000042.jpg,CleaningCoagulation,train
data/synthetic_frames/video03/frame_000049.jpg,GallbladderRetraction,train
data/synthetic_frames/video03/frame_000023.jpg,ClippingCutting,train
data/synthetic_frames/video03/frame_000011.jpg,CalotTriangleDissection,train
data/synthetic_frames/video03/frame_000036.jpg,GallbladderPackaging,train
data/synthetic_frames/video02/frame_000014.jpg,CalotTriangleDissection,train
data/synthetic_frames/video01/frame_000038.jpg,GallbladderPackaging,train
